DateTime,Nitrate_mgL,DOC_mgL
2017-06-05 20:23,0.08813663,-1111
2017-06-05 20:38,0.085394412,-1111
2017-06-05 20:53,0.078538867,-1111
2017-06-05 21:08,0.082652194,-1111
2017-06-05 21:23,0.086765521,-1111
2017-06-05 21:38,0.084023303,-1111
2017-06-05 21:53,0.096363284,-1111
2017-06-05 22:08,0.081281085,-1111
2017-06-05 22:23,0.084023303,-1111
2017-06-05 22:38,0.090878848,-1111
2017-06-05 22:53,0.097734393,-1111
2017-06-05 23:08,0.081281085,-1111
2017-06-05 23:23,0.090878848,-1111
2017-06-05 23:38,0.089507739,-1111
2017-06-05 23:53,0.096363284,-1111
2017-06-06 00:08,0.086765521,-1111
2017-06-06 00:23,0.094992175,-1111
2017-06-06 00:38,0.079909976,-1111
2017-06-06 00:53,0.092249957,-1111
2017-06-06 01:08,0.086765521,-1111
2017-06-06 01:23,0.100476611,-1111
2017-06-06 01:38,0.085394412,-1111
2017-06-06 01:53,0.084023303,-1111
2017-06-06 02:08,0.090878848,-1111
2017-06-06 02:23,0.071683322,-1111
2017-06-06 02:38,0.089507739,-1111
2017-06-06 02:53,0.08813663,-1111
2017-06-06 03:08,0.082652194,-1111
2017-06-06 03:23,0.081281085,-1111
2017-06-06 03:38,0.081281085,-1111
2017-06-06 03:53,0.092249957,-1111
2017-06-06 04:08,0.08813663,-1111
2017-06-06 04:23,0.08813663,-1111
2017-06-06 04:38,0.082652194,-1111
2017-06-06 04:53,0.081281085,-1111
2017-06-06 05:08,0.086765521,-1111
2017-06-06 05:23,0.08813663,-1111
2017-06-06 05:38,0.090878848,-1111
2017-06-06 05:53,0.082652194,-1111
2017-06-06 06:08,0.090878848,-1111
2017-06-06 06:23,0.092249957,-1111
2017-06-06 06:38,0.090878848,-1111
2017-06-06 06:53,0.086765521,-1111
2017-06-06 07:08,0.085394412,-1111
2017-06-06 07:23,0.090878848,-1111
2017-06-06 07:38,0.089507739,-1111
2017-06-06 07:53,0.078538867,-1111
2017-06-06 08:08,0.085394412,-1111
2017-06-06 08:23,0.071683322,-1111
2017-06-06 08:38,0.085394412,-1111
2017-06-06 08:53,0.089507739,-1111
2017-06-06 09:08,0.097734393,-1111
2017-06-06 09:23,0.077167758,-1111
2017-06-06 09:38,0.10184772,-1111
2017-06-06 09:53,0.092249957,-1111
2017-06-06 10:08,0.086765521,-1111
2017-06-06 10:23,0.08813663,-1111
2017-06-06 10:38,0.086765521,-1111
2017-06-06 10:53,0.084023303,-1111
2017-06-06 11:08,0.078538867,-1111
2017-06-06 11:23,0.089507739,-1111
2017-06-06 11:38,0.078538867,-1111
2017-06-06 11:53,0.084023303,-1111
2017-06-06 12:08,0.073054431,-1111
2017-06-06 12:23,0.077167758,-1111
2017-06-06 12:38,0.077167758,-1111
2017-06-06 12:53,0.085394412,-1111
2017-06-06 13:19,0.110074374,4.919677
2017-06-06 13:32,0.119672137,4.943239
2017-06-06 13:47,0.112816592,4.936813
2017-06-06 14:02,0.108703265,4.932529
2017-06-06 14:17,0.111445483,4.919677
2017-06-06 14:32,0.110074374,4.898257
2017-06-06 14:47,0.110074374,4.902541
2017-06-06 15:02,0.096363284,4.884334
2017-06-06 15:17,0.112816592,4.892902
2017-06-06 15:32,0.114187701,4.872553
2017-06-06 15:47,0.103218829,4.856488
2017-06-06 16:02,0.105961047,4.835068
2017-06-06 16:17,0.104589938,4.830784
2017-06-06 16:32,0.104589938,4.786873
2017-06-06 16:47,0.111445483,4.807222
2017-06-06 17:02,0.096363284,4.795441
2017-06-06 17:17,0.103218829,4.769737
2017-06-06 17:32,0.097734393,4.760098
2017-06-06 17:47,0.100476611,4.752601
2017-06-06 18:02,0.111445483,4.761169
2017-06-06 18:17,0.112816592,4.742962
2017-06-06 18:32,0.093621066,4.733323
2017-06-06 18:47,0.093621066,4.734394
2017-06-06 19:02,0.10184772,4.750459
2017-06-06 19:17,0.108703265,4.737607
2017-06-06 19:32,0.092249957,4.714045
2017-06-06 19:47,0.108703265,4.73011
2017-06-06 20:02,0.116929919,4.725826
2017-06-06 20:17,0.105961047,4.733323
2017-06-06 20:32,0.111445483,4.725826
2017-06-06 20:47,0.107332156,4.729039
2017-06-06 21:02,0.107332156,4.724755
2017-06-06 21:17,0.107332156,4.74082
2017-06-06 21:32,0.105961047,4.734394
2017-06-06 21:47,0.104589938,4.731181
2017-06-06 22:02,0.108703265,4.748317
2017-06-06 22:17,0.103218829,4.75153
2017-06-06 22:32,0.103218829,4.749388
2017-06-06 22:47,0.096363284,4.752601
2017-06-06 23:02,0.096363284,4.759027
2017-06-06 23:17,0.112816592,4.798654
2017-06-06 23:32,0.10184772,4.787944
2017-06-06 23:47,0.110074374,4.78366
2017-06-07 00:02,0.111445483,4.798654
2017-06-07 00:17,0.089507739,4.79437
2017-06-07 00:32,0.097734393,4.825429
2017-06-07 00:47,0.107332156,4.812577
2017-06-07 01:02,0.111445483,4.838281
2017-06-07 01:17,0.10184772,4.835068
2017-06-07 01:32,0.107332156,4.86934
2017-06-07 01:47,0.118301028,4.845778
2017-06-07 02:02,0.11555881,4.844707
2017-06-07 02:17,0.105961047,4.863985
2017-06-07 02:32,0.10184772,4.853275
2017-06-07 02:47,0.10184772,4.860772
2017-06-07 03:02,0.114187701,4.857559
2017-06-07 03:17,0.108703265,4.854346
2017-06-07 03:32,0.104589938,4.888618
2017-06-07 03:47,0.104589938,4.885405
2017-06-07 04:02,0.11555881,4.865056
2017-06-07 04:17,0.100476611,4.88005
2017-06-07 04:32,0.086765521,4.89076
2017-06-07 04:47,0.118301028,4.883263
2017-06-07 05:02,0.10184772,4.877908
2017-06-07 05:17,0.100476611,4.856488
2017-06-07 05:32,0.10184772,4.859701
2017-06-07 05:47,0.108703265,4.882192
2017-06-07 06:02,0.116929919,4.863985
2017-06-07 06:17,0.114187701,4.867198
2017-06-07 06:32,0.110074374,4.845778
